K01X01ESCALATOR	K01	COURT HOUSE		Escalator between street (Wilson Blvd) and middle landing/tunnel
K01X02ESCALATOR	K01	COURT HOUSE		Escalator between street (Wilson Blvd) and middle landing/tunnel
K01X03ESCALATOR	K01	COURT HOUSE		Escalator between street (Wilson Blvd) and middle landing/tunnel
K01X04ESCALATOR	K01	COURT HOUSE		Escalator between middle landing and mezzanine
K01X05ESCALATOR	K01	COURT HOUSE		Escalator between middle landing and mezzanine
K01X06ESCALATOR	K01	COURT HOUSE		Escalator between middle landing and mezzanine
K01X07ESCALATOR	K01	COURT HOUSE		Escalator between mezzanine and platform
K01X08ESCALATOR	K01	COURT HOUSE		Escalator between mezzanine and platform
C09X01ESCALATOR	C09	CRYSTAL CITY		Escalator between street and middle landing
C09X02ESCALATOR	C09	CRYSTAL CITY		Escalator between street and middle landing
C09X03ESCALATOR	C09	CRYSTAL CITY		Escalator between street and middle landing
C09X04ESCALATOR	C09	CRYSTAL CITY		Escalator between middle landing and mezzanine
C09X05ESCALATOR	C09	CRYSTAL CITY		Escalator between middle landing and mezzanine
C09X06ESCALATOR	C09	CRYSTAL CITY		Escalator between middle landing and mezzanine
C09X07ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center
C09X08ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center
C09X09ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center
C09X10ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Huntington/Franconia-Springfield
C09X11ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Huntington/Franconia-Springfield
C09X12ESCALATOR	C09	CRYSTAL CITY		Escalator between mezzanine and platform to Huntington/Franconia-Springfield
D10X01ESCALATOR	D10	DEANWOOD		Escalator between street and mezzanine
D10X02ESCALATOR	D10	DEANWOOD		Escalator between street and mezzanine
D10X03ESCALATOR	D10	DEANWOOD		Escalator between mezzanine and platform
D10X04ESCALATOR	D10	DEANWOOD		Escalator between mezzanine and platform
K07X01ESCALATOR	K07	DUNN LORING-MERRIFIELD		Escalator between mezzanine and platform
K07X02ESCALATOR	K07	DUNN LORING-MERRIFIELD		Escalator between mezzanine and platform
A03N01ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between street and mezzanine
A03N02ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between street and mezzanine
A03N03ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between street and mezzanine
A03N04ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between mezzanine and platform to Shady Grove
A03N05ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between mezzanine and platform to Shady Grove
A03N06ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between mezzanine and platform to Glenmont
A03N07ESCALATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Escalator between mezzanine and platform to Glenmont
A03S01ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between street and mezzanine
A03S02ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between street and mezzanine
A03S03ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between street and mezzanine
A03S04ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between mezzanine and platform to Glenmont
A03S05ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between mezzanine and platform to Glenmont
A03S06ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between mezzanine and platform to Shady Grove
A03S07ESCALATOR	A03	DUPONT CIRCLE	 South/DuPont Circle Entrance	Escalator between mezzanine and platform to Shady Grove
K05X01ESCALATOR	K05	EAST FALLS CHURCH		Escalator between mezzanine and platform
K05X02ESCALATOR	K05	EAST FALLS CHURCH		Escalator between mezzanine and platform
K05X03ESCALATOR	K05	EAST FALLS CHURCH		Escalator between mezzanine and platform
D06X01ESCALATOR	D06	EASTERN MARKET		Escalator between street and mezzanine
D06X02ESCALATOR	D06	EASTERN MARKET		Escalator between street and mezzanine
D06X03ESCALATOR	D06	EASTERN MARKET		Escalator between street and mezzanine
D06X04ESCALATOR	D06	EASTERN MARKET		Escalator between mezzanine and platform
D06X05ESCALATOR	D06	EASTERN MARKET		Escalator between mezzanine and platform
C14X01ESCALATOR	C14	EISENHOWER AVENUE		Escalator between mezzanine and platform to Mt. Vernon Sq
