Station	Codes	N	1977	1978	1979	1980	1981	1982	1984	1985	1986	1987	1988*	1989*	1990**	1991*	1992	1993*	1994	1995**	1996**	1997**	1998**	1999**	2000**	2001**	2002**	2003**	2004**	2005**	2006**	2007**	2008**	2009**	2010**	2011***	2012***
Huntington	C15	6	0	0	0	0	0	0	4084	6099	7030	7849	8002	8979	9445	9075	7566	7902	7109	7917	7570	7544	7174	7305	7787	8372	8084	8136	8501	8375	8648	8601	8834	8847	8760	9184	9060
Judiciary Square	B02	12	5490	7806	7955	8527	7680	7175	5576	7740	7552	8300	9043	8991	9347	9550	9343	7379	9672	9206	9372	9771	9925	9924	9402	10418	10570	11024	10952	10324	10308	10115	10234	10369	9951	9643	9253
King Street	C13	2	0	0	0	0	0	0	1806	2549	3437	3512	3742	3945	4144	4082	4054	4189	4139	4038	3896	4134	4393	4669	5232	5678	5800	6053	6971	8242	8739	9084	9510	9308	8991	9306	9090
L'Enfant Plaza	D03,F03	31	6154	8361	11417	12929	12026	11990	11393	16514	17255	17944	20845	19745	20979	21720	19579	18530	17886	17320	16812	16616	17206	17270	18712	20115	21117	21809	22285	21878	21848	21924	20269	21705	22563	22067	21926
Landover	D12	2	0	0	2381	2815	2165	2219	2300	2940	3191	3432	3662	3859	3856	3834	3541	3406	3235	3192	3155	3092	3219	3250	3477	3462	3447	3370	3424	2917	2771	2796	2763	2593	2570	2478	2336
Largo Town Center	G05	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4294	4826	5015	5195	5112	5283	5111	5159
McPherson Square	C02	14	7024	8927	12836	13829	13162	13218	12746	13902	15020	16177	16423	17809	18918	16380	14173	14953	15587	14324	14009	14063	14722	14710	15419	16411	15956	15765	16177	16047	16383	16441	16959	17009	17370	16873	16845
Medical Center	A10	5	0	0	0	0	0	0	0	2715	3137	3633	3964	4384	4501	4286	3917	3909	3927	3911	3815	3734	3859	3910	4141	4438	4718	4881	5091	5125	5100	5256	5346	5627	5574	5866	6010
Metro Center	A01,C01	25	10493	13704	19400	18516	19608	17635	17154	16550	19386	25356	24394	26888	25956	25289	24128	25285	26484	27643	25423	24929	25801	26541	27457	28941	28671	28076	28450	28983	29564	29798	30615	30569	29698	28983	28802
Minnesota Ave	D09	4	0	0	3689	3556	2183	2305	2144	2135	2365	2633	2803	2660	2518	2356	2116	2144	1958	2177	2100	2147	2320	2381	2703	2890	2979	3095	3158	3140	3480	3488	3552	3461	3410	3274	3257
Morgan Boulevard	G04	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	1250	1346	1424	1540	1674	1736	2290
Mt Vernon Sq – UDC	E01	7	0	0	0	0	0	0	0	0	0	0	0	0	0	744	1439	1701	1794	1861	1797	1786	1909	1692	1635	1818	1960	2969	3377	3358	3615	3633	3990	3634	3888	3813	4263
National Airport	C10	8	2479	3305	5088	5605	4619	4881	4402	4497	4194	5407	5117	5186	5657	4548	4603	4699	3997	4094	4192	3956	4876	4675	5039	5506	4784	4659	5044	6024	6220	6458	6344	6349	6414	6739	6341
Navy Yard	F05	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	1339	1450	1425	1330	1417	1524	1613	1828	2323	3099	2970	3132	3048	3238	4243	9768	9113	9156	8249	9884
Naylor Road	F09	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2373	2637	2839	3092	3194	3402	3325	3260	3144	3165	3047	3175
New Carrollton	D13	3	0	0	5715	6592	6514	5886	5723	5695	6065	6330	8359	8867	8786	8671	8374	8741	5586	7670	7406	7544	7924	8123	8742	9065	9058	9260	9586	9091	10006	10436	10625	10118	10287	9940	9839
New York Ave	B35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2177	2945	3489	4603	5229	5673	7461	8019
Pentagon	C07	12	10558	12775	14441	16123	16365	15310	17714	19838	19443	18721	19496	20862	20687	20285	18743	18157	15043	16873	15869	15646	15105	14707	15548	17401	14136	15726	15337	15171	15893	15968	16055	16318	16726	16999	17114
Pentagon City	C08	10	1312	2068	3325	3586	3136	3210	2335	2821	2998	3309	2786	3091	6650	7602	7365	8387	8529	9587	9895	10411	10865	10832	11058	11751	12805	13518	15833	15783	16176	16339	16803	16503	17197	17023	16382
Potomac Ave	D07	6	2830	3384	4927	4779	6753	5095	5258	6383	6201	6649	7164	6971	6044	5079	5407	5106	5264	4855	4522	4514	4663	4983	5353	3255	3281	3247	3247	3421	3651	3583	3824	4098	4144	4050	3978
Prince Georges Plaza	E08	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2257	2391	2361	2568	2724	2860	3389	3889	4357	4644	4630	4637	4872	4903	5034	5093	5309	5374	5336
Rhode Island Ave	B04	3	5665	4753	4307	4989	4226	4073	4069	4891	5079	5837	5955	6327	6328	6100	5700	5674	4767	4451	4051	4116	4337	4474	4858	5088	5105	5391	5704	5491	5757	6046	6144	6121	5651	5227	5645
Rockville	A14	2	0	0	0	0	0	0	0	2140	2798	3371	3537	3966	3944	3866	3735	3663	3550	3443	3386	3338	3545	3543	3844	3915	3994	4106	4163	4237	4365	4572	4736	4880	4927	4812	4834
Rosslyn	C05	10	11167	11725	17155	12752	12241	11406	11633	13856	13432	15672	17560	14615	13565	13637	12165	13814	12771	13831	13591	13597	13453	13655	14672	15633	14816	15397	16065	16224	16770	15462	17760	16941	18122	17158	16718
Shady Grove	A15	3	0	0	0	0	0	0	0	4050	5826	7319	8144	9055	9106	8745	8432	8325	8321	9014	9023	8876	9065	9111	9767	10635	11050	12290	13100	13360	13894	14439	14390	14107	13945	13856	13870
Shaw-Howard Univ	E02	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1494	2483	2689	3084	2854	2605	2568	2786	2960	3107	3320	3442	3483	3498	3450	3679	3804	4029	4256	4290	4439	4696
Silver Spring	B08	5	0	9121	13860	16414	15533	14478	14735	13445	14043	14664	14476	15729	14857	13385	12741	11778	12317	11311	10565	10354	10579	10610	11492	12040	12034	12374	12464	13078	14032	14777	15155	14077	13421	13471	13621
Smithsonian	D02	14	4060	6184	8312	12427	9657	9711	8305	8986	9503	9442	11351	11121	11931	12062	11580	13596	12420	12844	11888	12310	11712	12217	12241	12155	12021	11164	12915	12234	12465	11597	12027	12764	12895	12603	11946
Southern Ave	F08	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4258	5139	5543	5770	5916	6278	6356	6537	6263	5931	5776	5909
Stadium-Armory	D08	10	3956	4307	4316	4094	3445	2887	3178	3226	3399	3989	4113	4063	3942	3890	3525	3441	3037	3586	3438	3179	3069	2991	3319	3174	2963	3042	2939	5608	5341	5329	3235	3062	3559	3077	3069
Suitland	F10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5182	5636	5859	6122	6039	6214	6510	6631	6453	6668	6417	6396
Takoma	B07	3	0	2556	3873	4809	4687	4137	4629	5195	5304	5529	6021	6427	6227	6448	5859	5944	5728	5204	5171	5079	5344	5543	5595	6031	6019	6138	6161	6201	6362	6466	6664	6811	6685	6488	6143
Tenleytown	A07	9	0	0	0	0	0	0	0	4128	4805	4615	5664	5776	5591	5588	5315	5200	5210	4805	5178	5454	5612	5667	5966	6143	6252	6103	6511	6687	7563	7493	7401	7290	7091	6677	7220
Twinbrook	A13	1	0	0	0	0	0	0	0	2354	3264	3662	4330	4516	4515	4211	4081	3795	3855	3778	3673	3783	3662	3539	3863	4266	4369	4541	4506	4531	4763	4805	4943	4628	4587	4773	4632
U Street-Cardozo	E03	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1688	2903	2956	3165	3127	3152	3274	3338	3592	3497	3725	4024	4107	4513	4790	5406	5934	6567	7115	7183	7048	7238
